{-9/4, 3*sqrt(7)/4}
{-871/384 - sqrt(105)/128 - sqrt(5)/128 + 7*sqrt(21)/128, -sqrt(15)/384 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 103*sqrt(7)/128}
{-295/128 - 3*sqrt(105)/128 - 3*sqrt(5)/128 + 21*sqrt(21)/128, -sqrt(15)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 117*sqrt(7)/128}
{-151/64 - 3*sqrt(105)/64 - 3*sqrt(5)/64 + 21*sqrt(21)/64, -sqrt(15)/64 + 7*sqrt(3)/64 + 9*sqrt(35)/64 + 69*sqrt(7)/64}
{-9/4 + (3 - sqrt(33))*(3*sqrt(5) + 7)/768 + sqrt(7)*(3 - sqrt(33))*(-7*sqrt(3) + sqrt(15))/256, (3 - sqrt(33))*(-7*sqrt(3) + sqrt(15))/768 - sqrt(7)*(3 - sqrt(33))*(3*sqrt(5) + 7)/256 + 3*sqrt(7)/4}
{-295/128 - 3*sqrt(105)/128 - sqrt(5)/128 + 7*sqrt(21)/128, -sqrt(15)/128 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 117*sqrt(7)/128}
{-151/64 - 3*sqrt(105)/64 - sqrt(5)/64 + 7*sqrt(21)/64, -sqrt(15)/64 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 69*sqrt(7)/64}
{-309/128 - 9*sqrt(105)/128 - 3*sqrt(5)/128 + 21*sqrt(21)/128, -3*sqrt(15)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 159*sqrt(7)/128}
{-1777/768 - 7*sqrt(105)/256 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + 49*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(15)/768 - 7*sqrt(11)/768 - sqrt(55)/256 + 49*sqrt(3)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 241*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 7*sqrt(21)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(15)/768 - 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 241*sqrt(7)/256}
{-1805/768 - 11*sqrt(105)/256 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - 11*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 269*sqrt(7)/256}
{-1735/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 5*sqrt(5)/256 - sqrt(105)/256 + sqrt(165)/768 + 35*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 - sqrt(15)/768 + 35*sqrt(3)/768 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-1819/768 - 13*sqrt(105)/256 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 13*sqrt(15)/768 + 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 283*sqrt(7)/256}
{-583/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 3*sqrt(105)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + sqrt(5)/256 + 21*sqrt(77)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 7*sqrt(3)/768 - sqrt(15)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-597/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 - sqrt(5)/256 + 7*sqrt(21)/256 + 21*sqrt(77)/256, -3*sqrt(15)/256 - sqrt(55)/256 + 7*sqrt(3)/768 + 3*sqrt(35)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-899/384 - 5*sqrt(105)/128 - 7*sqrt(21)/128 - sqrt(165)/192 + sqrt(5)/128 + 7*sqrt(77)/64, -3*sqrt(35)/128 - 5*sqrt(15)/384 - 7*sqrt(3)/384 + 7*sqrt(11)/192 + sqrt(1155)/64 + 131*sqrt(7)/128}
{-223/96 - 7*sqrt(21)/64 - sqrt(105)/32 - sqrt(165)/192 + sqrt(5)/64 + 7*sqrt(77)/64, -3*sqrt(35)/64 - 7*sqrt(3)/192 - sqrt(15)/96 + 7*sqrt(11)/192 + sqrt(1155)/64 + 31*sqrt(7)/32}
{-857/384 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(165)/384 - sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(21)/128 + 7*sqrt(77)/128, -sqrt(55)/128 + sqrt(15)/384 + 7*sqrt(3)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-425/192 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(165)/384 + sqrt(105)/64 + 7*sqrt(77)/128, -sqrt(55)/128 + sqrt(15)/192 + 7*sqrt(11)/384 + sqrt(1155)/128 + 7*sqrt(231)/128 + 41*sqrt(7)/64}
{-439/192 - 7*sqrt(21)/64 - sqrt(105)/64 - sqrt(165)/192 + sqrt(5)/64 + 7*sqrt(77)/64, -3*sqrt(35)/64 - 7*sqrt(3)/192 - sqrt(15)/192 + 7*sqrt(11)/192 + sqrt(1155)/64 + 55*sqrt(7)/64}
{-871/384 - 21*sqrt(21)/128 - sqrt(105)/128 - sqrt(165)/192 + 3*sqrt(5)/128 + 7*sqrt(77)/64, -9*sqrt(35)/128 - 7*sqrt(3)/128 - sqrt(15)/384 + 7*sqrt(11)/192 + sqrt(1155)/64 + 103*sqrt(7)/128}
{-1763/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + 7*sqrt(77)/256 + 49*sqrt(21)/256, -sqrt(55)/256 - 5*sqrt(15)/768 + 7*sqrt(11)/768 + 49*sqrt(3)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 227*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 5*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -7*sqrt(15)/768 - sqrt(55)/256 + 7*sqrt(11)/768 + 35*sqrt(3)/768 + sqrt(1155)/256 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-9/4 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - 3*sqrt(5)/128 + 21*sqrt(21)/128, -sqrt(55)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 3*sqrt(7)/4}
{-597/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -3*sqrt(15)/256 - sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-1763/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -sqrt(55)/256 - 5*sqrt(15)/768 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-223/96 - sqrt(105)/32 - sqrt(165)/384 - sqrt(5)/128 + 7*sqrt(21)/128 + 7*sqrt(77)/128, -sqrt(15)/96 + 7*sqrt(3)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 31*sqrt(7)/32}
{-899/384 - 5*sqrt(105)/128 - sqrt(165)/384 + 7*sqrt(77)/128, -5*sqrt(15)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 131*sqrt(7)/128}
{-1735/768 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(105)/256 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -sqrt(55)/256 - sqrt(15)/768 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-281/128 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(5)/64 + 3*sqrt(105)/128 + 7*sqrt(21)/64, -sqrt(55)/128 + sqrt(15)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 75*sqrt(7)/128}
{-583/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - 7*sqrt(33)/768 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -sqrt(55)/256 - sqrt(15)/256 + 7*sqrt(3)/768 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-295/128 - 3*sqrt(105)/128 - sqrt(165)/384 + 7*sqrt(77)/128, -sqrt(15)/128 + 7*sqrt(11)/384 + sqrt(1155)/128 + 117*sqrt(7)/128}
{-1721/768 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/768 - sqrt(5)/256 + sqrt(105)/256 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -sqrt(55)/256 + sqrt(15)/768 + 7*sqrt(3)/768 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 185*sqrt(7)/256}
{-439/192 - 7*sqrt(21)/128 - sqrt(105)/64 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(3)/384 - sqrt(15)/192 + 7*sqrt(11)/384 + sqrt(1155)/128 + 55*sqrt(7)/64}
{-569/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + sqrt(5)/256 + 3*sqrt(105)/256 + 7*sqrt(77)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 7*sqrt(3)/768 + sqrt(15)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-583/256 - 21*sqrt(77)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - 9*sqrt(5)/256 - 7*sqrt(33)/768 + sqrt(165)/256 + 63*sqrt(21)/256, -3*sqrt(1155)/256 - 7*sqrt(11)/256 - sqrt(55)/256 - sqrt(15)/256 + 21*sqrt(3)/256 + 7*sqrt(231)/256 + 27*sqrt(35)/256 + 213*sqrt(7)/256}
{-309/128 - 9*sqrt(105)/128 - sqrt(5)/64 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 - 3*sqrt(15)/128 + sqrt(55)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 159*sqrt(7)/128}
{-1805/768 - 11*sqrt(105)/256 - 7*sqrt(77)/256 - 5*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 35*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 11*sqrt(15)/768 - 7*sqrt(11)/768 + sqrt(55)/256 + 35*sqrt(3)/768 + 15*sqrt(35)/256 + 269*sqrt(7)/256}
{-439/192 - 7*sqrt(77)/128 - sqrt(105)/64 - 3*sqrt(5)/128 + sqrt(165)/384 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/192 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 55*sqrt(7)/64}
{-913/384 - 7*sqrt(105)/128 - sqrt(165)/384 + 7*sqrt(77)/128, -7*sqrt(15)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 145*sqrt(7)/128}
{-871/384 - 7*sqrt(77)/128 - sqrt(105)/128 - sqrt(5)/64 + sqrt(165)/384 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/384 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 103*sqrt(7)/128}
{-899/384 - 7*sqrt(77)/128 - 5*sqrt(105)/128 - sqrt(5)/64 + sqrt(165)/384 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 - 5*sqrt(15)/384 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 131*sqrt(7)/128}
{-223/96 - sqrt(105)/32 - 7*sqrt(21)/128 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - sqrt(15)/96 - 7*sqrt(3)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 31*sqrt(7)/32}
{-223/96 - 7*sqrt(77)/128 - sqrt(105)/32 - 3*sqrt(5)/128 + sqrt(165)/384 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/96 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 31*sqrt(7)/32}
{-9/4 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(5)/128 + 7*sqrt(21)/128, -sqrt(55)/128 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 7*sqrt(231)/128 + 3*sqrt(7)/4}
{-295/128 - 3*sqrt(385)/128 - 3*sqrt(105)/128 - 7*sqrt(33)/384 - sqrt(5)/64 + 7*sqrt(21)/64, -sqrt(55)/128 - sqrt(15)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 117*sqrt(7)/128}
{-871/384 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(105)/128 - 3*sqrt(5)/128 + sqrt(165)/384 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(55)/128 - sqrt(15)/384 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 103*sqrt(7)/128}
{-857/384 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - 3*sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/128 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(55)/128 + sqrt(15)/384 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-871/384 - 3*sqrt(385)/128 - 7*sqrt(21)/128 - 7*sqrt(33)/384 - sqrt(105)/128 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - sqrt(55)/128 - 7*sqrt(3)/384 - sqrt(15)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 7*sqrt(231)/128 + 103*sqrt(7)/128}
{-857/384 - 3*sqrt(385)/128 - 7*sqrt(21)/128 - 7*sqrt(33)/384 - sqrt(165)/384 + sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - sqrt(55)/128 - 7*sqrt(3)/384 + sqrt(15)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 7*sqrt(231)/128 + 89*sqrt(7)/128}
{-425/192 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(5)/64 + sqrt(165)/384 + sqrt(105)/64 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(55)/128 + sqrt(15)/192 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 41*sqrt(7)/64}
{-209/96 - 7*sqrt(77)/128 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(5)/64 + sqrt(165)/384 + sqrt(105)/32 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(55)/128 + sqrt(15)/96 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
{-1819/768 - 13*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(77)/256, -3*sqrt(35)/256 - 13*sqrt(15)/768 - sqrt(55)/256 - 7*sqrt(3)/768 + 7*sqrt(11)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 283*sqrt(7)/256}
{-1805/768 - 11*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -11*sqrt(15)/768 - sqrt(55)/256 + 7*sqrt(3)/768 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 269*sqrt(7)/256}
{-597/256 - 21*sqrt(21)/256 - 9*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + 3*sqrt(5)/256 + 21*sqrt(77)/256, -9*sqrt(35)/256 - 7*sqrt(3)/256 - 3*sqrt(15)/256 - sqrt(55)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 255*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(21)/256 + 7*sqrt(77)/256, -7*sqrt(15)/768 - sqrt(55)/256 + 7*sqrt(3)/768 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/768 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(15)/768 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 241*sqrt(7)/256}
{-1763/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - 7*sqrt(33)/768 - 5*sqrt(5)/256 + sqrt(165)/768 + 35*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 - 5*sqrt(15)/768 + 35*sqrt(3)/768 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-1763/768 - 3*sqrt(385)/256 - 5*sqrt(105)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(77)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 5*sqrt(15)/768 - 7*sqrt(3)/768 + 7*sqrt(11)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 227*sqrt(7)/256}
{-583/256 - 35*sqrt(21)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + 5*sqrt(5)/256 + 21*sqrt(77)/256, -15*sqrt(35)/256 - 35*sqrt(3)/768 - sqrt(55)/256 - sqrt(15)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-583/256 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 3*sqrt(105)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/768 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 - sqrt(15)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 213*sqrt(7)/256}
{-1735/768 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(105)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(77)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 7*sqrt(3)/768 - sqrt(15)/768 + 7*sqrt(11)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 199*sqrt(7)/256}
{-1721/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/768 + sqrt(105)/256 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + sqrt(15)/768 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 185*sqrt(7)/256}
{-611/256 - 15*sqrt(105)/256 - 21*sqrt(21)/256 - sqrt(165)/256 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - 9*sqrt(35)/256 - 5*sqrt(15)/256 - 7*sqrt(3)/256 + sqrt(55)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 297*sqrt(7)/256}
{-611/256 - 21*sqrt(77)/256 - 15*sqrt(105)/256 - 7*sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - 3*sqrt(1155)/256 - 7*sqrt(11)/256 - 5*sqrt(15)/256 + sqrt(55)/256 + 49*sqrt(3)/768 + 21*sqrt(35)/256 + 297*sqrt(7)/256}
{-1819/768 - 13*sqrt(105)/256 - 7*sqrt(77)/256 - 3*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 13*sqrt(15)/768 - 7*sqrt(11)/768 + sqrt(55)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 283*sqrt(7)/256}
{-1805/768 - 11*sqrt(105)/256 - 7*sqrt(21)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 11*sqrt(15)/768 - 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 269*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 7*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - 7*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 49*sqrt(3)/768 + sqrt(1155)/256 + 21*sqrt(35)/256 + 241*sqrt(7)/256}
{-1693/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/768 + 5*sqrt(105)/256 + 21*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 5*sqrt(15)/768 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 157*sqrt(7)/256}
{-1721/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + sqrt(105)/256 + 49*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + sqrt(15)/768 + 49*sqrt(3)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 185*sqrt(7)/256}
{-1777/768 - 7*sqrt(105)/256 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - 7*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 241*sqrt(7)/256}
{-1693/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 + sqrt(165)/768 + 5*sqrt(105)/256 + 49*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 5*sqrt(15)/768 + 49*sqrt(3)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 157*sqrt(7)/256}
{-569/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 - sqrt(5)/256 + 3*sqrt(105)/256 + 7*sqrt(21)/256 + 21*sqrt(77)/256, -sqrt(55)/256 + sqrt(15)/256 + 7*sqrt(3)/768 + 3*sqrt(35)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-569/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 - 5*sqrt(5)/256 + 3*sqrt(105)/256 + 35*sqrt(21)/256 + 21*sqrt(77)/256, -sqrt(55)/256 + sqrt(15)/256 + 35*sqrt(3)/768 + 7*sqrt(11)/256 + 15*sqrt(35)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 171*sqrt(7)/256}
{-209/96 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(5)/64 - sqrt(165)/384 + sqrt(105)/32 + 7*sqrt(77)/128 + 7*sqrt(21)/64, -sqrt(55)/128 + sqrt(15)/96 + 7*sqrt(11)/384 + 7*sqrt(3)/192 + sqrt(1155)/128 + 3*sqrt(35)/64 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
{-829/384 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(165)/384 - sqrt(5)/128 + 7*sqrt(21)/128 + 5*sqrt(105)/128 + 7*sqrt(77)/128, -sqrt(55)/128 + 7*sqrt(3)/384 + 5*sqrt(15)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 7*sqrt(231)/128 + 61*sqrt(7)/128}
{-439/192 - sqrt(105)/64 - sqrt(165)/192 + 7*sqrt(77)/64, -sqrt(15)/192 + 7*sqrt(11)/192 + sqrt(1155)/64 + 55*sqrt(7)/64}
{-871/384 - 7*sqrt(21)/128 - sqrt(105)/128 - sqrt(165)/192 + sqrt(5)/128 + 7*sqrt(77)/64, -3*sqrt(35)/128 - 7*sqrt(3)/384 - sqrt(15)/384 + 7*sqrt(11)/192 + sqrt(1155)/64 + 103*sqrt(7)/128}
{-209/96 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - sqrt(165)/384 + sqrt(105)/32 + 7*sqrt(77)/128, -sqrt(55)/128 + sqrt(15)/96 + 7*sqrt(11)/384 + sqrt(1155)/128 + 7*sqrt(231)/128 + 17*sqrt(7)/32}
