{-9/4, 3*sqrt(7)/4}
{-217/96 + sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + 5*sqrt(3)/96 + 25*sqrt(7)/32}
{-221/96 + sqrt(33)/96 + sqrt(77)/32 + 5*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + 5*sqrt(3)/96 + 29*sqrt(7)/32}
{-53/24 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + 5*sqrt(7)/8}
{-69/32 - sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 15*sqrt(7)/32}
{-9/4 + sqrt(21)/16 + sqrt(77)/16, sqrt(3)/48 + sqrt(11)/48 + 3*sqrt(7)/4}
{-73/32 + sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, -sqrt(231)/32 + sqrt(11)/96 + sqrt(3)/32 + 27*sqrt(7)/32}
{-107/48 + sqrt(77)/16, sqrt(11)/48 + 11*sqrt(7)/16}
{-221/96 + sqrt(33)/96 + sqrt(21)/32 + sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/96 + 29*sqrt(7)/32}
{-9/4 - sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/48 + sqrt(11)/48 + 3*sqrt(7)/4}
{-17/8 - sqrt(33)/48 + 3*sqrt(21)/16, sqrt(3)/16 + sqrt(231)/16 + 3*sqrt(7)/8}
{-73/32 - 3*sqrt(77)/32 + sqrt(33)/96 + 11*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + 11*sqrt(3)/96 + 27*sqrt(7)/32}
{-107/48 - sqrt(77)/16 + sqrt(21)/4, -sqrt(11)/48 + sqrt(3)/12 + 11*sqrt(7)/16}
